lea_id,lea_name,school_id,school_name.x,identified_student_percentage_isp,proxy_identified_student_percentage_isp,eligible_to_participate,near_eligible_to_participate,currently_participating,participating_as_an_individual_site,participating_as_part_of_a_group_of_schools,participating_as_part_of_an_entire_district,participating_in_year_4_and_eligible_for_a_grace_year,student_enrollment_in_near_eligible_eligible_and_participating_cep_schools,comments,pkey,isp,enrollment,cep,academic_year,county_code,district_code,school_code,county_name,district_name,school_name.y,district_type,school_type,educational_option_type,nslp_provision_status,charter_school_y_n,charter_school_number,charter_funding_type,irc,low_grade,high_grade,enrollment_k_12,free_meal_count_k_12,percent_percent_eligible_free_k_12,frpm_count_k_12,percent_percent_eligible_frpm_k_12,enrollment_ages_5_17,free_meal_count_ages_5_17,percent_percent_eligible_free_ages_5_17,frpm_count_ages_5_17,percent_percent_eligible_frpm_ages_5_17,calpads_fall_1_certification_status
1702,Los Angeles Unified School District,19647336120810,MacArthur Park Elementary School for the Visual and Performing A,NA,0.62209302325581395,X,NA,X,NA,G1,NA,NA,516,NA,647336120810,0.622093023255814,516,1,2019-2020,19,64733,6120810,Los Angeles,Los Angeles Unified,MacArthur Park Elementary School for the Visual and Performing Arts,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,5,524,508,0.9694656488549618,516,0.9847328244274809,495,483,0.9757575757575757,490,0.98989898989899,Y
1702,Los Angeles Unified School District,19647336120679,COLUMBUS AVENUE,NA,0.51356993736951984,X,NA,X,NA,G1,NA,NA,479,NA,647336120679,0.5135699373695198,479,1,2019-2020,19,64733,6120679,Los Angeles,Los Angeles Unified,Columbus Avenue,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,5,464,371,0.7995689655172413,383,0.8254310344827587,452,360,0.7964601769911505,372,0.8230088495575221,Y
1702,Los Angeles Unified School District,19647336119093,LAFAYETTE PARK PRIMARY CENTER,NA,0.49382716049382713,X,NA,X,NA,G1,NA,NA,81,NA,647336119093,0.4938271604938272,81,1,2019-2020,19,64733,6119093,Los Angeles,Los Angeles Unified,Lafayette Park Primary Center,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,K,70,65,0.9285714285714286,66,0.9428571428571428,60,56,0.9333333333333333,57,0.95,Y
1702,Los Angeles Unified School District,19647336118186,Ellen Ochoa Learning Center,NA,0.52223926380368102,X,NA,X,NA,G1,NA,NA,1304,NA,647336118186,0.522239263803681,1304,1,2019-2020,19,64733,6118186,Los Angeles,Los Angeles Unified,Ellen Ochoa Learning Center,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,8,1299,1132,0.8714395688991532,1219,0.9384141647421094,1279,1115,0.8717748240813136,1200,0.9382329945269742,Y
1702,Los Angeles Unified School District,19647336116842,PRIMARY ACADEMY FOR SUCCESS,NA,0.53378378378378377,X,NA,X,NA,G1,NA,NA,296,NA,647336116842,0.5337837837837838,296,1,2019-2020,19,64733,6116842,Los Angeles,Los Angeles Unified,Primary Academy for Success,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,2,262,239,0.9122137404580153,256,0.9770992366412213,230,210,0.9130434782608695,225,0.9782608695652174,Y
1702,Los Angeles Unified School District,19647336115794,LOS ANGELES ACADEMY MIDDLE,NA,0.65132139812446721,X,NA,X,NA,G1,NA,NA,1173,NA,647336115794,0.6513213981244672,1173,1,2019-2020,19,64733,6115794,Los Angeles,Los Angeles Unified,Los Angeles Academy Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No,NA,NA,N,6,8,1215,1136,0.9349794238683128,1173,0.9654320987654321,1215,1136,0.9349794238683128,1173,0.9654320987654321,Y
1702,Los Angeles Unified School District,19647336114722,INDEPENDENCE ELEMENTARY,NA,0.44022503516174405,X,NA,X,NA,G2,NA,NA,711,NA,647336114722,0.44022503516174405,711,1,2019-2020,19,64733,6114722,Los Angeles,Los Angeles Unified,Independence Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,5,643,563,0.8755832037325039,614,0.9548989113530326,612,542,0.8856209150326797,587,0.9591503267973857,Y
1702,Los Angeles Unified School District,19647336113419,Gratts Learning Academy for Young Scholars (GLAYS),NA,0.647887323943662,X,NA,X,NA,G1,NA,NA,497,NA,647336113419,0.6478873239436619,497,1,2019-2020,19,64733,6113419,Los Angeles,Los Angeles Unified,Gratts Learning Academy for Young Scholars (GLAYS),Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,6,507,499,0.9842209072978304,501,0.9881656804733728,507,499,0.9842209072978304,501,0.9881656804733728,Y
1702,Los Angeles Unified School District,19647336112411,SAN ANTONIO ELEMENTARY,NA,0.5184534270650264,X,NA,X,NA,G2,NA,NA,569,NA,647336112411,0.5184534270650264,569,1,2019-2020,19,64733,6112411,Los Angeles,Los Angeles Unified,San Antonio Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,5,563,484,0.8596802841918295,517,0.9182948490230906,528,456,0.8636363636363636,486,0.9204545454545454,Y
1702,Los Angeles Unified School District,19647336111512,LOS ANGELES ELEMENTARY,NA,0.54495912806539515,X,NA,X,NA,G1,NA,NA,734,NA,647336111512,0.5449591280653951,734,1,2019-2020,19,64733,6111512,Los Angeles,Los Angeles Unified,Los Angeles Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No,NA,NA,N,K,5,662,624,0.9425981873111783,643,0.9712990936555891,625,589,0.9424,607,0.9712,Y
